"","ELmap$GSS_CODE"
"310","E05000202"
"311","E05000212"
"312","E05000205"
"313","E05000197"
"314","E05000204"
"315","E05000200"
"316","E05000203"
"317","E05000206"
"318","E05000198"
"319","E05000193"
"320","E05000209"
"321","E05000208"
"322","E05000201"
"323","E05000194"
"324","E05000210"
"325","E05000207"
"326","E05000211"
"327","E05000199"
"328","E05000604"
"329","E05000599"
"330","E05000600"
"331","E05000607"
"332","E05000593"
"333","E05000591"
"334","E05000603"
"335","E05000606"
"336","E05000596"
"337","E05000595"
"338","E05000608"
"339","E05000601"
"340","E05000609"
"341","E05000592"
"342","E05000597"
"343","E05000590"
"344","E05000602"
"345","E05000594"
"346","E05000598"
"347","E05000605"
"348","E05000515"
"349","E05000502"
"350","E05000510"
"351","E05000511"
"352","E05000503"
"353","E05000505"
"354","E05000495"
"355","E05000497"
"356","E05000506"
"357","E05000507"
"358","E05000501"
"359","E05000508"
"360","E05000514"
"361","E05000512"
"362","E05000513"
"363","E05000500"
"364","E05000499"
"365","E05000496"
"366","E05000504"
"367","E05000498"
"368","E05000509"
"369","E05000559"
"370","E05000560"
"371","E05000556"
"372","E05000562"
"373","E05000571"
"374","E05000557"
"375","E05000561"
"376","E05000572"
"377","E05000566"
"378","E05000567"
"379","E05000564"
"380","E05000558"
"381","E05000565"
"382","E05000563"
"383","E05000568"
"384","E05000570"
"385","E05000569"
"386","E05000555"
"387","E05000520"
"388","E05000530"
"389","E05000522"
"390","E05000523"
"391","E05000531"
"392","E05000519"
"393","E05000526"
"394","E05000524"
"395","E05000517"
"396","E05000525"
"397","E05000521"
"398","E05000518"
"399","E05000532"
"400","E05000533"
"401","E05000529"
"402","E05000527"
"403","E05000528"
"404","E05000516"
"405","E05000456"
"406","E05000458"
"407","E05000472"
"408","E05000474"
"409","E05000465"
"410","E05000473"
"411","E05000469"
"412","E05000459"
"413","E05000470"
"414","E05000468"
"415","E05000466"
"416","E05000455"
"417","E05000460"
"418","E05000467"
"419","E05000461"
"420","E05000464"
"421","E05000462"
"422","E05000471"
