"Notes"	"County"	"County Code"	"Year"	"Year Code"	Avg Fine Particulate Matter (µg/m³)
	"Autauga County, AL"	"01001"	"2003"	"2003"	15.08
	"Autauga County, AL"	"01001"	"2004"	"2004"	14.92
	"Autauga County, AL"	"01001"	"2005"	"2005"	16.25
	"Autauga County, AL"	"01001"	"2006"	"2006"	16.17
	"Autauga County, AL"	"01001"	"2007"	"2007"	15.40
	"Autauga County, AL"	"01001"	"2008"	"2008"	13.31
	"Baldwin County, AL"	"01003"	"2003"	"2003"	13.57
	"Baldwin County, AL"	"01003"	"2004"	"2004"	12.86
	"Baldwin County, AL"	"01003"	"2005"	"2005"	13.63
	"Baldwin County, AL"	"01003"	"2006"	"2006"	14.63
	"Baldwin County, AL"	"01003"	"2007"	"2007"	13.07
	"Baldwin County, AL"	"01003"	"2008"	"2008"	11.80
	"Barbour County, AL"	"01005"	"2003"	"2003"	13.91
	"Barbour County, AL"	"01005"	"2004"	"2004"	14.00
	"Barbour County, AL"	"01005"	"2005"	"2005"	14.80
	"Barbour County, AL"	"01005"	"2006"	"2006"	14.80
	"Barbour County, AL"	"01005"	"2007"	"2007"	14.24
	"Barbour County, AL"	"01005"	"2008"	"2008"	12.11
	"Bibb County, AL"	"01007"	"2003"	"2003"	15.47
	"Bibb County, AL"	"01007"	"2004"	"2004"	15.27
	"Bibb County, AL"	"01007"	"2005"	"2005"	16.97
	"Bibb County, AL"	"01007"	"2006"	"2006"	16.64
	"Bibb County, AL"	"01007"	"2007"	"2007"	15.96
	"Bibb County, AL"	"01007"	"2008"	"2008"	13.68
	"Blount County, AL"	"01009"	"2003"	"2003"	15.62
	"Blount County, AL"	"01009"	"2004"	"2004"	15.50
	"Blount County, AL"	"01009"	"2005"	"2005"	16.82
	"Blount County, AL"	"01009"	"2006"	"2006"	15.99
	"Blount County, AL"	"01009"	"2007"	"2007"	16.14
	"Blount County, AL"	"01009"	"2008"	"2008"	13.04
	"Bullock County, AL"	"01011"	"2003"	"2003"	14.32
	"Bullock County, AL"	"01011"	"2004"	"2004"	14.34
	"Bullock County, AL"	"01011"	"2005"	"2005"	15.23
	"Bullock County, AL"	"01011"	"2006"	"2006"	15.22
	"Bullock County, AL"	"01011"	"2007"	"2007"	14.62
	"Bullock County, AL"	"01011"	"2008"	"2008"	12.48
	"Butler County, AL"	"01013"	"2003"	"2003"	14.26
	"Butler County, AL"	"01013"	"2004"	"2004"	13.79
	"Butler County, AL"	"01013"	"2005"	"2005"	14.75
	"Butler County, AL"	"01013"	"2006"	"2006"	15.11
	"Butler County, AL"	"01013"	"2007"	"2007"	14.24
	"Butler County, AL"	"01013"	"2008"	"2008"	12.40
	"Calhoun County, AL"	"01015"	"2003"	"2003"	15.56
	"Calhoun County, AL"	"01015"	"2004"	"2004"	15.60
	"Calhoun County, AL"	"01015"	"2005"	"2005"	16.59
	"Calhoun County, AL"	"01015"	"2006"	"2006"	15.96
	"Calhoun County, AL"	"01015"	"2007"	"2007"	15.85
	"Calhoun County, AL"	"01015"	"2008"	"2008"	13.05
	"Chambers County, AL"	"01017"	"2003"	"2003"	15.27
	"Chambers County, AL"	"01017"	"2004"	"2004"	15.59
	"Chambers County, AL"	"01017"	"2005"	"2005"	16.39
	"Chambers County, AL"	"01017"	"2006"	"2006"	16.06
	"Chambers County, AL"	"01017"	"2007"	"2007"	15.68
	"Chambers County, AL"	"01017"	"2008"	"2008"	13.20
	"Cherokee County, AL"	"01019"	"2003"	"2003"	15.66
	"Cherokee County, AL"	"01019"	"2004"	"2004"	15.67
	"Cherokee County, AL"	"01019"	"2005"	"2005"	16.54
	"Cherokee County, AL"	"01019"	"2006"	"2006"	15.82
	"Cherokee County, AL"	"01019"	"2007"	"2007"	15.81
	"Cherokee County, AL"	"01019"	"2008"	"2008"	12.92
	"Chilton County, AL"	"01021"	"2003"	"2003"	15.37
	"Chilton County, AL"	"01021"	"2004"	"2004"	15.29
	"Chilton County, AL"	"01021"	"2005"	"2005"	16.76
	"Chilton County, AL"	"01021"	"2006"	"2006"	16.51
	"Chilton County, AL"	"01021"	"2007"	"2007"	15.81
	"Chilton County, AL"	"01021"	"2008"	"2008"	13.60
	"Choctaw County, AL"	"01023"	"2003"	"2003"	14.77
	"Choctaw County, AL"	"01023"	"2004"	"2004"	13.95
	"Choctaw County, AL"	"01023"	"2005"	"2005"	15.29
	"Choctaw County, AL"	"01023"	"2006"	"2006"	15.60
	"Choctaw County, AL"	"01023"	"2007"	"2007"	14.59
	"Choctaw County, AL"	"01023"	"2008"	"2008"	12.96
	"Clarke County, AL"	"01025"	"2003"	"2003"	14.68
	"Clarke County, AL"	"01025"	"2004"	"2004"	13.71
	"Clarke County, AL"	"01025"	"2005"	"2005"	14.77
	"Clarke County, AL"	"01025"	"2006"	"2006"	15.42
	"Clarke County, AL"	"01025"	"2007"	"2007"	14.32
	"Clarke County, AL"	"01025"	"2008"	"2008"	12.70
	"Clay County, AL"	"01027"	"2003"	"2003"	15.42
	"Clay County, AL"	"01027"	"2004"	"2004"	15.53
	"Clay County, AL"	"01027"	"2005"	"2005"	16.58
	"Clay County, AL"	"01027"	"2006"	"2006"	16.13
	"Clay County, AL"	"01027"	"2007"	"2007"	15.81
	"Clay County, AL"	"01027"	"2008"	"2008"	13.23
	"Cleburne County, AL"	"01029"	"2003"	"2003"	15.52
	"Cleburne County, AL"	"01029"	"2004"	"2004"	15.64
	"Cleburne County, AL"	"01029"	"2005"	"2005"	16.49
	"Cleburne County, AL"	"01029"	"2006"	"2006"	15.93
	"Cleburne County, AL"	"01029"	"2007"	"2007"	15.75
	"Cleburne County, AL"	"01029"	"2008"	"2008"	13.04
	"Coffee County, AL"	"01031"	"2003"	"2003"	13.53
	"Coffee County, AL"	"01031"	"2004"	"2004"	13.21
	"Coffee County, AL"	"01031"	"2005"	"2005"	14.01
	"Coffee County, AL"	"01031"	"2006"	"2006"	14.35
	"Coffee County, AL"	"01031"	"2007"	"2007"	13.58
	"Coffee County, AL"	"01031"	"2008"	"2008"	11.74
	"Colbert County, AL"	"01033"	"2003"	"2003"	15.49
	"Colbert County, AL"	"01033"	"2004"	"2004"	14.80
	"Colbert County, AL"	"01033"	"2005"	"2005"	16.57
	"Colbert County, AL"	"01033"	"2006"	"2006"	15.45
	"Colbert County, AL"	"01033"	"2007"	"2007"	15.94
	"Colbert County, AL"	"01033"	"2008"	"2008"	13.19
	"Conecuh County, AL"	"01035"	"2003"	"2003"	14.08
	"Conecuh County, AL"	"01035"	"2004"	"2004"	13.34
	"Conecuh County, AL"	"01035"	"2005"	"2005"	14.16
	"Conecuh County, AL"	"01035"	"2006"	"2006"	14.78
	"Conecuh County, AL"	"01035"	"2007"	"2007"	13.81
	"Conecuh County, AL"	"01035"	"2008"	"2008"	12.12
	"Coosa County, AL"	"01037"	"2003"	"2003"	15.37
	"Coosa County, AL"	"01037"	"2004"	"2004"	15.43
	"Coosa County, AL"	"01037"	"2005"	"2005"	16.67
	"Coosa County, AL"	"01037"	"2006"	"2006"	16.35
	"Coosa County, AL"	"01037"	"2007"	"2007"	15.81
	"Coosa County, AL"	"01037"	"2008"	"2008"	13.45
	"Covington County, AL"	"01039"	"2003"	"2003"	13.59
	"Covington County, AL"	"01039"	"2004"	"2004"	13.08
	"Covington County, AL"	"01039"	"2005"	"2005"	13.85
	"Covington County, AL"	"01039"	"2006"	"2006"	14.37
	"Covington County, AL"	"01039"	"2007"	"2007"	13.47
	"Covington County, AL"	"01039"	"2008"	"2008"	11.75
	"Crenshaw County, AL"	"01041"	"2003"	"2003"	14.08
	"Crenshaw County, AL"	"01041"	"2004"	"2004"	13.74
	"Crenshaw County, AL"	"01041"	"2005"	"2005"	14.66
	"Crenshaw County, AL"	"01041"	"2006"	"2006"	14.94
	"Crenshaw County, AL"	"01041"	"2007"	"2007"	14.15
	"Crenshaw County, AL"	"01041"	"2008"	"2008"	12.25
	"Cullman County, AL"	"01043"	"2003"	"2003"	15.66
	"Cullman County, AL"	"01043"	"2004"	"2004"	15.48
	"Cullman County, AL"	"01043"	"2005"	"2005"	16.91
	"Cullman County, AL"	"01043"	"2006"	"2006"	15.92
	"Cullman County, AL"	"01043"	"2007"	"2007"	16.30
	"Cullman County, AL"	"01043"	"2008"	"2008"	12.95
	"Dale County, AL"	"01045"	"2003"	"2003"	13.39
	"Dale County, AL"	"01045"	"2004"	"2004"	13.24
	"Dale County, AL"	"01045"	"2005"	"2005"	14.04
	"Dale County, AL"	"01045"	"2006"	"2006"	14.26
	"Dale County, AL"	"01045"	"2007"	"2007"	13.58
	"Dale County, AL"	"01045"	"2008"	"2008"	11.65
	"Dallas County, AL"	"01047"	"2003"	"2003"	14.96
	"Dallas County, AL"	"01047"	"2004"	"2004"	14.55
	"Dallas County, AL"	"01047"	"2005"	"2005"	15.92
	"Dallas County, AL"	"01047"	"2006"	"2006"	16.03
	"Dallas County, AL"	"01047"	"2007"	"2007"	15.13
	"Dallas County, AL"	"01047"	"2008"	"2008"	13.19
	"DeKalb County, AL"	"01049"	"2003"	"2003"	15.65
	"DeKalb County, AL"	"01049"	"2004"	"2004"	15.52
	"DeKalb County, AL"	"01049"	"2005"	"2005"	16.52
	"DeKalb County, AL"	"01049"	"2006"	"2006"	15.70
	"DeKalb County, AL"	"01049"	"2007"	"2007"	15.81
	"DeKalb County, AL"	"01049"	"2008"	"2008"	12.97
	"Elmore County, AL"	"01051"	"2003"	"2003"	15.07
	"Elmore County, AL"	"01051"	"2004"	"2004"	15.09
	"Elmore County, AL"	"01051"	"2005"	"2005"	16.25
	"Elmore County, AL"	"01051"	"2006"	"2006"	16.09
	"Elmore County, AL"	"01051"	"2007"	"2007"	15.45
	"Elmore County, AL"	"01051"	"2008"	"2008"	13.23
	"Escambia County, AL"	"01053"	"2003"	"2003"	13.83
	"Escambia County, AL"	"01053"	"2004"	"2004"	13.01
	"Escambia County, AL"	"01053"	"2005"	"2005"	13.73
	"Escambia County, AL"	"01053"	"2006"	"2006"	14.53
	"Escambia County, AL"	"01053"	"2007"	"2007"	13.42
	"Escambia County, AL"	"01053"	"2008"	"2008"	11.88
	"Etowah County, AL"	"01055"	"2003"	"2003"	15.64
	"Etowah County, AL"	"01055"	"2004"	"2004"	15.60
	"Etowah County, AL"	"01055"	"2005"	"2005"	16.67
	"Etowah County, AL"	"01055"	"2006"	"2006"	15.89
	"Etowah County, AL"	"01055"	"2007"	"2007"	15.97
	"Etowah County, AL"	"01055"	"2008"	"2008"	12.96
	"Fayette County, AL"	"01057"	"2003"	"2003"	15.60
	"Fayette County, AL"	"01057"	"2004"	"2004"	15.26
	"Fayette County, AL"	"01057"	"2005"	"2005"	17.15
	"Fayette County, AL"	"01057"	"2006"	"2006"	16.30
	"Fayette County, AL"	"01057"	"2007"	"2007"	16.40
	"Fayette County, AL"	"01057"	"2008"	"2008"	13.30
	"Franklin County, AL"	"01059"	"2003"	"2003"	15.57
	"Franklin County, AL"	"01059"	"2004"	"2004"	15.15
	"Franklin County, AL"	"01059"	"2005"	"2005"	16.97
	"Franklin County, AL"	"01059"	"2006"	"2006"	15.65
	"Franklin County, AL"	"01059"	"2007"	"2007"	16.47
	"Franklin County, AL"	"01059"	"2008"	"2008"	12.90
	"Geneva County, AL"	"01061"	"2003"	"2003"	13.04
	"Geneva County, AL"	"01061"	"2004"	"2004"	12.83
	"Geneva County, AL"	"01061"	"2005"	"2005"	13.59
	"Geneva County, AL"	"01061"	"2006"	"2006"	13.93
	"Geneva County, AL"	"01061"	"2007"	"2007"	13.11
	"Geneva County, AL"	"01061"	"2008"	"2008"	11.36
	"Greene County, AL"	"01063"	"2003"	"2003"	15.45
	"Greene County, AL"	"01063"	"2004"	"2004"	14.99
	"Greene County, AL"	"01063"	"2005"	"2005"	17.00
	"Greene County, AL"	"01063"	"2006"	"2006"	16.77
	"Greene County, AL"	"01063"	"2007"	"2007"	15.85
	"Greene County, AL"	"01063"	"2008"	"2008"	13.86
	"Hale County, AL"	"01065"	"2003"	"2003"	15.45
	"Hale County, AL"	"01065"	"2004"	"2004"	15.06
	"Hale County, AL"	"01065"	"2005"	"2005"	16.95
	"Hale County, AL"	"01065"	"2006"	"2006"	16.79
	"Hale County, AL"	"01065"	"2007"	"2007"	15.85
	"Hale County, AL"	"01065"	"2008"	"2008"	13.83
	"Henry County, AL"	"01067"	"2003"	"2003"	13.34
	"Henry County, AL"	"01067"	"2004"	"2004"	13.39
	"Henry County, AL"	"01067"	"2005"	"2005"	14.18
	"Henry County, AL"	"01067"	"2006"	"2006"	14.26
	"Henry County, AL"	"01067"	"2007"	"2007"	13.67
	"Henry County, AL"	"01067"	"2008"	"2008"	11.64
	"Houston County, AL"	"01069"	"2003"	"2003"	12.85
	"Houston County, AL"	"01069"	"2004"	"2004"	12.84
	"Houston County, AL"	"01069"	"2005"	"2005"	13.63
	"Houston County, AL"	"01069"	"2006"	"2006"	13.79
	"Houston County, AL"	"01069"	"2007"	"2007"	13.13
	"Houston County, AL"	"01069"	"2008"	"2008"	11.24
	"Jackson County, AL"	"01071"	"2003"	"2003"	15.48
	"Jackson County, AL"	"01071"	"2004"	"2004"	15.09
	"Jackson County, AL"	"01071"	"2005"	"2005"	16.25
	"Jackson County, AL"	"01071"	"2006"	"2006"	15.44
	"Jackson County, AL"	"01071"	"2007"	"2007"	15.52
	"Jackson County, AL"	"01071"	"2008"	"2008"	13.28
	"Jefferson County, AL"	"01073"	"2003"	"2003"	15.55
	"Jefferson County, AL"	"01073"	"2004"	"2004"	15.39
	"Jefferson County, AL"	"01073"	"2005"	"2005"	16.90
	"Jefferson County, AL"	"01073"	"2006"	"2006"	16.25
	"Jefferson County, AL"	"01073"	"2007"	"2007"	16.11
	"Jefferson County, AL"	"01073"	"2008"	"2008"	13.30
	"Lamar County, AL"	"01075"	"2003"	"2003"	15.45
	"Lamar County, AL"	"01075"	"2004"	"2004"	15.08
	"Lamar County, AL"	"01075"	"2005"	"2005"	17.01
	"Lamar County, AL"	"01075"	"2006"	"2006"	16.06
	"Lamar County, AL"	"01075"	"2007"	"2007"	16.23
	"Lamar County, AL"	"01075"	"2008"	"2008"	13.21
	"Lauderdale County, AL"	"01077"	"2003"	"2003"	15.40
	"Lauderdale County, AL"	"01077"	"2004"	"2004"	14.52
	"Lauderdale County, AL"	"01077"	"2005"	"2005"	16.25
	"Lauderdale County, AL"	"01077"	"2006"	"2006"	15.27
	"Lauderdale County, AL"	"01077"	"2007"	"2007"	15.50
	"Lauderdale County, AL"	"01077"	"2008"	"2008"	13.42
	"Lawrence County, AL"	"01079"	"2003"	"2003"	15.61
	"Lawrence County, AL"	"01079"	"2004"	"2004"	15.19
	"Lawrence County, AL"	"01079"	"2005"	"2005"	16.80
	"Lawrence County, AL"	"01079"	"2006"	"2006"	15.65
	"Lawrence County, AL"	"01079"	"2007"	"2007"	16.25
	"Lawrence County, AL"	"01079"	"2008"	"2008"	13.00
	"Lee County, AL"	"01081"	"2003"	"2003"	14.93
	"Lee County, AL"	"01081"	"2004"	"2004"	15.23
	"Lee County, AL"	"01081"	"2005"	"2005"	16.03
	"Lee County, AL"	"01081"	"2006"	"2006"	15.80
	"Lee County, AL"	"01081"	"2007"	"2007"	15.36
	"Lee County, AL"	"01081"	"2008"	"2008"	12.98
	"Limestone County, AL"	"01083"	"2003"	"2003"	15.47
	"Limestone County, AL"	"01083"	"2004"	"2004"	14.84
	"Limestone County, AL"	"01083"	"2005"	"2005"	16.34
	"Limestone County, AL"	"01083"	"2006"	"2006"	15.40
	"Limestone County, AL"	"01083"	"2007"	"2007"	15.64
	"Limestone County, AL"	"01083"	"2008"	"2008"	13.31
	"Lowndes County, AL"	"01085"	"2003"	"2003"	14.70
	"Lowndes County, AL"	"01085"	"2004"	"2004"	14.38
	"Lowndes County, AL"	"01085"	"2005"	"2005"	15.55
	"Lowndes County, AL"	"01085"	"2006"	"2006"	15.67
	"Lowndes County, AL"	"01085"	"2007"	"2007"	14.86
	"Lowndes County, AL"	"01085"	"2008"	"2008"	12.88
	"Macon County, AL"	"01087"	"2003"	"2003"	14.68
	"Macon County, AL"	"01087"	"2004"	"2004"	14.79
	"Macon County, AL"	"01087"	"2005"	"2005"	15.71
	"Macon County, AL"	"01087"	"2006"	"2006"	15.59
	"Macon County, AL"	"01087"	"2007"	"2007"	15.04
	"Macon County, AL"	"01087"	"2008"	"2008"	12.81
	"Madison County, AL"	"01089"	"2003"	"2003"	15.49
	"Madison County, AL"	"01089"	"2004"	"2004"	14.99
	"Madison County, AL"	"01089"	"2005"	"2005"	16.33
	"Madison County, AL"	"01089"	"2006"	"2006"	15.44
	"Madison County, AL"	"01089"	"2007"	"2007"	15.63
	"Madison County, AL"	"01089"	"2008"	"2008"	13.27
	"Marengo County, AL"	"01091"	"2003"	"2003"	15.09
	"Marengo County, AL"	"01091"	"2004"	"2004"	14.42
	"Marengo County, AL"	"01091"	"2005"	"2005"	15.96
	"Marengo County, AL"	"01091"	"2006"	"2006"	16.19
	"Marengo County, AL"	"01091"	"2007"	"2007"	15.13
	"Marengo County, AL"	"01091"	"2008"	"2008"	13.34
	"Marion County, AL"	"01093"	"2003"	"2003"	15.60
	"Marion County, AL"	"01093"	"2004"	"2004"	15.28
	"Marion County, AL"	"01093"	"2005"	"2005"	17.14
	"Marion County, AL"	"01093"	"2006"	"2006"	15.93
	"Marion County, AL"	"01093"	"2007"	"2007"	16.59
	"Marion County, AL"	"01093"	"2008"	"2008"	12.96
	"Marshall County, AL"	"01095"	"2003"	"2003"	15.67
	"Marshall County, AL"	"01095"	"2004"	"2004"	15.52
	"Marshall County, AL"	"01095"	"2005"	"2005"	16.70
	"Marshall County, AL"	"01095"	"2006"	"2006"	15.77
	"Marshall County, AL"	"01095"	"2007"	"2007"	16.05
	"Marshall County, AL"	"01095"	"2008"	"2008"	12.91
	"Mobile County, AL"	"01097"	"2003"	"2003"	13.58
	"Mobile County, AL"	"01097"	"2004"	"2004"	12.83
	"Mobile County, AL"	"01097"	"2005"	"2005"	13.63
	"Mobile County, AL"	"01097"	"2006"	"2006"	14.55
	"Mobile County, AL"	"01097"	"2007"	"2007"	13.02
	"Mobile County, AL"	"01097"	"2008"	"2008"	11.79
	"Monroe County, AL"	"01099"	"2003"	"2003"	14.41
	"Monroe County, AL"	"01099"	"2004"	"2004"	13.55
	"Monroe County, AL"	"01099"	"2005"	"2005"	14.47
	"Monroe County, AL"	"01099"	"2006"	"2006"	15.12
	"Monroe County, AL"	"01099"	"2007"	"2007"	14.08
	"Monroe County, AL"	"01099"	"2008"	"2008"	12.42
	"Montgomery County, AL"	"01101"	"2003"	"2003"	14.63
	"Montgomery County, AL"	"01101"	"2004"	"2004"	14.51
	"Montgomery County, AL"	"01101"	"2005"	"2005"	15.57
	"Montgomery County, AL"	"01101"	"2006"	"2006"	15.59
	"Montgomery County, AL"	"01101"	"2007"	"2007"	14.89
	"Montgomery County, AL"	"01101"	"2008"	"2008"	12.80
	"Morgan County, AL"	"01103"	"2003"	"2003"	15.64
	"Morgan County, AL"	"01103"	"2004"	"2004"	15.37
	"Morgan County, AL"	"01103"	"2005"	"2005"	16.77
	"Morgan County, AL"	"01103"	"2006"	"2006"	15.71
	"Morgan County, AL"	"01103"	"2007"	"2007"	16.19
	"Morgan County, AL"	"01103"	"2008"	"2008"	12.93
	"Perry County, AL"	"01105"	"2003"	"2003"	15.31
	"Perry County, AL"	"01105"	"2004"	"2004"	14.98
	"Perry County, AL"	"01105"	"2005"	"2005"	16.64
	"Perry County, AL"	"01105"	"2006"	"2006"	16.55
	"Perry County, AL"	"01105"	"2007"	"2007"	15.64
	"Perry County, AL"	"01105"	"2008"	"2008"	13.64
	"Pickens County, AL"	"01107"	"2003"	"2003"	15.42
	"Pickens County, AL"	"01107"	"2004"	"2004"	15.01
	"Pickens County, AL"	"01107"	"2005"	"2005"	16.99
	"Pickens County, AL"	"01107"	"2006"	"2006"	16.42
	"Pickens County, AL"	"01107"	"2007"	"2007"	15.99
	"Pickens County, AL"	"01107"	"2008"	"2008"	13.58
	"Pike County, AL"	"01109"	"2003"	"2003"	14.06
	"Pike County, AL"	"01109"	"2004"	"2004"	13.92
	"Pike County, AL"	"01109"	"2005"	"2005"	14.81
	"Pike County, AL"	"01109"	"2006"	"2006"	14.95
	"Pike County, AL"	"01109"	"2007"	"2007"	14.26
	"Pike County, AL"	"01109"	"2008"	"2008"	12.25
	"Randolph County, AL"	"01111"	"2003"	"2003"	15.39
	"Randolph County, AL"	"01111"	"2004"	"2004"	15.61
	"Randolph County, AL"	"01111"	"2005"	"2005"	16.45
	"Randolph County, AL"	"01111"	"2006"	"2006"	16.01
	"Randolph County, AL"	"01111"	"2007"	"2007"	15.72
	"Randolph County, AL"	"01111"	"2008"	"2008"	13.13
	"Russell County, AL"	"01113"	"2003"	"2003"	14.42
	"Russell County, AL"	"01113"	"2004"	"2004"	14.68
	"Russell County, AL"	"01113"	"2005"	"2005"	15.43
	"Russell County, AL"	"01113"	"2006"	"2006"	15.28
	"Russell County, AL"	"01113"	"2007"	"2007"	14.83
	"Russell County, AL"	"01113"	"2008"	"2008"	12.53
	"St. Clair County, AL"	"01115"	"2003"	"2003"	15.56
	"St. Clair County, AL"	"01115"	"2004"	"2004"	15.51
	"St. Clair County, AL"	"01115"	"2005"	"2005"	16.73
	"St. Clair County, AL"	"01115"	"2006"	"2006"	16.06
	"St. Clair County, AL"	"01115"	"2007"	"2007"	15.99
	"St. Clair County, AL"	"01115"	"2008"	"2008"	13.13
	"Shelby County, AL"	"01117"	"2003"	"2003"	15.48
	"Shelby County, AL"	"01117"	"2004"	"2004"	15.39
	"Shelby County, AL"	"01117"	"2005"	"2005"	16.82
	"Shelby County, AL"	"01117"	"2006"	"2006"	16.35
	"Shelby County, AL"	"01117"	"2007"	"2007"	15.96
	"Shelby County, AL"	"01117"	"2008"	"2008"	13.42
	"Sumter County, AL"	"01119"	"2003"	"2003"	15.16
	"Sumter County, AL"	"01119"	"2004"	"2004"	14.58
	"Sumter County, AL"	"01119"	"2005"	"2005"	16.38
	"Sumter County, AL"	"01119"	"2006"	"2006"	16.32
	"Sumter County, AL"	"01119"	"2007"	"2007"	15.34
	"Sumter County, AL"	"01119"	"2008"	"2008"	13.59
	"Talladega County, AL"	"01121"	"2003"	"2003"	15.47
	"Talladega County, AL"	"01121"	"2004"	"2004"	15.50
	"Talladega County, AL"	"01121"	"2005"	"2005"	16.67
	"Talladega County, AL"	"01121"	"2006"	"2006"	16.15
	"Talladega County, AL"	"01121"	"2007"	"2007"	15.88
	"Talladega County, AL"	"01121"	"2008"	"2008"	13.24
	"Tallapoosa County, AL"	"01123"	"2003"	"2003"	15.25
	"Tallapoosa County, AL"	"01123"	"2004"	"2004"	15.44
	"Tallapoosa County, AL"	"01123"	"2005"	"2005"	16.45
	"Tallapoosa County, AL"	"01123"	"2006"	"2006"	16.15
	"Tallapoosa County, AL"	"01123"	"2007"	"2007"	15.68
	"Tallapoosa County, AL"	"01123"	"2008"	"2008"	13.28
	"Tuscaloosa County, AL"	"01125"	"2003"	"2003"	15.55
	"Tuscaloosa County, AL"	"01125"	"2004"	"2004"	15.25
	"Tuscaloosa County, AL"	"01125"	"2005"	"2005"	17.09
	"Tuscaloosa County, AL"	"01125"	"2006"	"2006"	16.56
	"Tuscaloosa County, AL"	"01125"	"2007"	"2007"	16.16
	"Tuscaloosa County, AL"	"01125"	"2008"	"2008"	13.58
	"Walker County, AL"	"01127"	"2003"	"2003"	15.60
	"Walker County, AL"	"01127"	"2004"	"2004"	15.36
	"Walker County, AL"	"01127"	"2005"	"2005"	17.03
	"Walker County, AL"	"01127"	"2006"	"2006"	16.18
	"Walker County, AL"	"01127"	"2007"	"2007"	16.31
	"Walker County, AL"	"01127"	"2008"	"2008"	13.20
	"Washington County, AL"	"01129"	"2003"	"2003"	14.40
	"Washington County, AL"	"01129"	"2004"	"2004"	13.33
	"Washington County, AL"	"01129"	"2005"	"2005"	14.18
	"Washington County, AL"	"01129"	"2006"	"2006"	14.93
	"Washington County, AL"	"01129"	"2007"	"2007"	13.84
	"Washington County, AL"	"01129"	"2008"	"2008"	12.34
	"Wilcox County, AL"	"01131"	"2003"	"2003"	14.74
	"Wilcox County, AL"	"01131"	"2004"	"2004"	14.10
	"Wilcox County, AL"	"01131"	"2005"	"2005"	15.32
	"Wilcox County, AL"	"01131"	"2006"	"2006"	15.67
	"Wilcox County, AL"	"01131"	"2007"	"2007"	14.69
	"Wilcox County, AL"	"01131"	"2008"	"2008"	12.89
	"Winston County, AL"	"01133"	"2003"	"2003"	15.65
	"Winston County, AL"	"01133"	"2004"	"2004"	15.40
	"Winston County, AL"	"01133"	"2005"	"2005"	17.06
	"Winston County, AL"	"01133"	"2006"	"2006"	15.96
	"Winston County, AL"	"01133"	"2007"	"2007"	16.50
	"Winston County, AL"	"01133"	"2008"	"2008"	12.96
	"Apache County, AZ"	"04001"	"2003"	"2003"	9.45
	"Apache County, AZ"	"04001"	"2004"	"2004"	8.57
	"Apache County, AZ"	"04001"	"2005"	"2005"	8.74
	"Apache County, AZ"	"04001"	"2006"	"2006"	8.15
	"Apache County, AZ"	"04001"	"2007"	"2007"	8.63
	"Apache County, AZ"	"04001"	"2008"	"2008"	10.38
	"Cochise County, AZ"	"04003"	"2003"	"2003"	10.97
	"Cochise County, AZ"	"04003"	"2004"	"2004"	9.61
	"Cochise County, AZ"	"04003"	"2005"	"2005"	10.03
	"Cochise County, AZ"	"04003"	"2006"	"2006"	9.29
	"Cochise County, AZ"	"04003"	"2007"	"2007"	10.50
	"Cochise County, AZ"	"04003"	"2008"	"2008"	12.40
	"Coconino County, AZ"	"04005"	"2003"	"2003"	11.04
	"Coconino County, AZ"	"04005"	"2004"	"2004"	10.11
	"Coconino County, AZ"	"04005"	"2005"	"2005"	10.22
	"Coconino County, AZ"	"04005"	"2006"	"2006"	9.17
	"Coconino County, AZ"	"04005"	"2007"	"2007"	9.80
	"Coconino County, AZ"	"04005"	"2008"	"2008"	11.07
	"Gila County, AZ"	"04007"	"2003"	"2003"	11.05
	"Gila County, AZ"	"04007"	"2004"	"2004"	9.76
	"Gila County, AZ"	"04007"	"2005"	"2005"	10.06
	"Gila County, AZ"	"04007"	"2006"	"2006"	9.40
	"Gila County, AZ"	"04007"	"2007"	"2007"	9.93
	"Gila County, AZ"	"04007"	"2008"	"2008"	12.00
	"Graham County, AZ"	"04009"	"2003"	"2003"	10.36
	"Graham County, AZ"	"04009"	"2004"	"2004"	8.62
	"Graham County, AZ"	"04009"	"2005"	"2005"	9.17
	"Graham County, AZ"	"04009"	"2006"	"2006"	8.54
	"Graham County, AZ"	"04009"	"2007"	"2007"	9.89
	"Graham County, AZ"	"04009"	"2008"	"2008"	12.60
	"Greenlee County, AZ"	"04011"	"2003"	"2003"	10.27
	"Greenlee County, AZ"	"04011"	"2004"	"2004"	8.67
	"Greenlee County, AZ"	"04011"	"2005"	"2005"	9.15
	"Greenlee County, AZ"	"04011"	"2006"	"2006"	8.47
	"Greenlee County, AZ"	"04011"	"2007"	"2007"	9.38
	"Greenlee County, AZ"	"04011"	"2008"	"2008"	12.05
	"La Paz County, AZ"	"04012"	"2003"	"2003"	15.28
	"La Paz County, AZ"	"04012"	"2004"	"2004"	13.80
	"La Paz County, AZ"	"04012"	"2005"	"2005"	12.89
	"La Paz County, AZ"	"04012"	"2006"	"2006"	11.75
	"La Paz County, AZ"	"04012"	"2007"	"2007"	11.45
	"La Paz County, AZ"	"04012"	"2008"	"2008"	12.49
	"Maricopa County, AZ"	"04013"	"2003"	"2003"	12.49
	"Maricopa County, AZ"	"04013"	"2004"	"2004"	10.96
	"Maricopa County, AZ"	"04013"	"2005"	"2005"	11.01
